SAMPNO	PERNO	PLANO	LOCATION_TYPE	LOCATION_ID	MODE	TRIPDUR	ACTDUR
8001305	1	1	Work	21	3	35	184
8001305	1	2	Other	41	3	3	49
8001305	1	3	Work	21	3	3	306
8001305	1	4	Home	11	3	36	48
8001305	1	5	Other	41	3	33	115
8001305	1	6	Home	11	3	30	155
8002934	1	1	Work	21	3	24	575
8002934	1	2	Other	41	3	20	365
8003673	1	1	Other	41	3	8	83
8003673	1	2	Other	41	3	7	22
8003673	1	3	Other	41	3	1	84
8003673	1	4	Home	11	3	2	527
8005348	2	1	Other	42	3	2	25
8005348	2	2	Other	42	3	5	81
8005348	2	3	Other	42	3	6	1
8005348	2	4	Other	42	3	1	70
8005348	2	5	Other	42	3	15	4
8005348	2	6	Other	42	3	6	516
8005727	1	1	Work	21	3	11	959
8005740	2	1	Other	42	3	15	909
8005784	3	1	Home	13	3	23	742
8005784	3	2	Other	43	3	24	298
8006177	1	1	Other	41	3	8	51
8006177	1	2	Other	41	3	3	3
8006177	1	3	Home	11	3	7	73
8006177	1	4	Other	41	3	23	219
8006177	1	5	Other	41	3	3	29
8006177	1	6	Other	41	3	3	295
8006177	1	7	Home	11	3	26	406
8006177	2	1	Other	42	3	7	24
8006177	2	2	Other	42	3	3	11
8006177	2	3	Home	12	3	8	708
8007267	1	1	Other	41	3	17	7
8007267	1	2	Home	11	3	18	51
8007267	1	3	Work	21	3	8	81
8007267	1	4	Other	41	3	9	139
8007267	1	5	Home	11	3	5	177
8007643	2	1	Home	12	1	3	5
8007643	2	2	Other	42	5	19	414
8007643	2	3	Other	42	5	13	415
8008430	1	1	Other	41	3	15	438
8008430	1	2	Home	11	3	36	415
8008430	2	1	Other	42	3	2	5
8008430	2	2	Other	42	3	8	11
8008430	2	3	Other	42	3	4	410
8008430	2	4	Other	42	3	2	3
8008430	2	5	Home	12	3	17	537
8009638	1	1	Other	41	1	0	4
8009638	1	2	Other	41	1	0	384
8009638	1	3	Other	41	1	2	14
8009638	1	4	Work	21	3	0	54
8009638	1	5	Other	41	1	0	192
8009638	1	6	Other	41	1	0	3
8009638	1	7	Work	21	1	0	98
8011275	1	1	Other	41	3	2	5
8011275	1	2	Other	41	3	25	203
8011275	1	3	Other	41	3	22	9
8011275	1	4	Home	11	3	11	504
8011306	1	1	Other	41	1	0	18
8011306	1	2	Other	41	1	0	121
8011306	1	3	Other	41	1	0	5
8011306	1	4	Other	41	1	0	25
8011306	1	5	Other	41	1	0	122
8011306	1	6	Other	41	1	0	610
8011306	2	1	Home	12	1	0	3
8011306	2	2	Other	42	1	0	10
8011306	2	3	Other	42	1	0	4
8011306	2	4	Other	42	1	0	467
8011306	2	5	Other	42	1	0	7
8011306	2	6	Other	42	1	0	467
8011375	1	1	Home	11	3	1	1027
8011995	1	1	Other	41	3	28	290
8012302	1	1	Work	21	3	21	522
8012302	1	2	Home	11	3	18	241
8012391	1	1	Other	41	3	3	1
8012391	1	2	Other	41	3	19	30
8012391	1	3	Other	41	3	10	2
8012391	1	4	Other	41	3	75	4
8012391	1	5	Other	41	3	0	15
8012391	1	6	Other	41	3	3	98
8012391	1	7	Other	41	3	10	587
8012391	1	8	Other	41	3	10	1434
8012461	1	1	Other	41	3	40	3
8012461	1	2	Other	41	3	4	3
8012461	1	3	Home	11	3	2	251
8012461	1	4	Other	41	3	15	34
8012461	1	5	Home	11	3	9	429
8012461	2	1	Other	42	3	69	0
8012461	2	2	Other	42	3	7	43
8012461	2	3	Other	42	3	40	3
8012461	2	4	Other	42	3	4	3
8012461	2	5	Home	12	3	2	23
8012461	2	6	Other	42	3	4	335
8012461	2	7	Home	12	3	5	36
8012461	2	8	Other	42	3	2	142
8012461	2	9	Home	12	3	2	189
8014074	1	1	Home	11	3	10	852
8014074	1	2	Home	11	3	2	4
8014074	1	3	Other	41	3	2	7
8014074	1	4	Other	41	3	1	6
8014074	1	5	Other	41	3	2	4
8014074	1	6	Other	41	3	4	3
8014074	1	7	Other	41	1	2	26
8014074	1	8	Work	21	1	3	63
8014074	1	9	Work	21	1	2	9
8014074	1	10	Other	41	5	46	3
8014074	1	11	Home	11	3	8	629
8014074	2	1	Other	42	3	10	2
8014074	2	2	Other	42	2	10	6
8014074	2	3	Other	42	1	8	1
8014074	2	4	Other	42	2	6	35
8014074	2	5	Other	42	3	11	11
8014074	2	6	Home	12	3	10	35
8014074	2	7	Home	12	3	0	23
8014074	2	8	Other	42	2	7	15
8014074	2	9	Other	42	2	2	1
8014074	2	10	Home	12	2	5	630
8017992	1	1	Other	41	5	14	0
8017992	1	2	Work	21	1	10	519
8017992	1	3	Other	41	1	2	1
8017992	1	4	Other	41	1	5	4
8017992	1	5	Home	11	5	15	0
8017992	1	6	Home	11	1	3	377
8019367	1	1	Other	41	3	5	28
8019367	1	2	Other	41	1	0	131
8019367	1	3	Other	41	3	12	34
8019367	1	4	Home	11	3	25	230
8019367	2	1	Other	42	3	3	191
8019367	2	2	Other	42	3	10	34
8019367	2	3	Other	42	3	15	4
8019367	2	4	Home	12	1	0	34
8019367	2	5	Other	42	1	6	12
8019367	2	6	Other	42	3	2	1
8019367	2	7	Home	12	3	5	176
8019628	1	1	Other	41	3	5	16
8019628	1	2	Other	41	3	14	1
8019628	1	3	Work	21	3	3	523
8019628	1	4	Other	41	3	17	25
8019628	1	5	Home	11	3	13	338
8020688	1	1	Other	41	3	15	12
8020688	1	2	Other	41	1	0	1
8020688	1	3	Home	11	3	5	349
8020688	2	1	Other	42	4	15	737
8020828	1	1	Other	41	3	15	909
8023033	1	1	Other	41	3	35	33
8023033	1	2	Work	21	3	16	313
8023033	1	3	Work	21	3	15	163
8023033	1	4	Home	11	3	5	413
8027862	1	1	Home	11	1	15	186
8027862	1	2	Home	11	1	2	5
8027862	1	3	Home	11	1	0	5
8027862	1	4	Home	11	1	0	328
8027862	1	5	Home	11	1	0	15
8027862	1	6	Home	11	1	1	1
8027862	1	7	Home	11	1	3	9
8027862	1	8	Other	41	1	1	1
8027862	1	9	Other	41	1	0	6
8027862	1	10	Home	11	1	0	40
8027862	1	11	Home	11	1	0	8
8027862	1	12	Other	41	1	0	1
8027862	1	13	Other	41	1	0	7
8027862	1	14	Home	11	1	0	321
8030219	2	1	Work	22	1	15	392
8030219	2	2	Other	42	1	14	162
8030219	2	3	Work	22	1	2	2
8030219	2	4	Home	12	1	11	27
8030219	2	5	Other	42	3	9	75
8030219	2	6	Other	42	3	4	1
8030219	2	7	Other	42	3	10	193
8030305	1	1	Work	21	3	21	206
8030305	1	2	Home	11	3	25	648
8030305	2	1	Other	42	3	27	35
8030305	2	2	Other	42	3	5	695
8031638	1	1	Work	21	3	30	265
8031638	1	2	Other	41	3	4	53
8031638	1	3	Work	21	3	3	216
8031638	1	4	Other	41	3	16	11
8031638	1	5	Home	11	3	29	357
8031650	4	1	School	3	3	18	2
8031650	4	2	Other	44	3	14	21
8031650	4	3	Home	14	3	6	88
8031650	4	4	Other	44	3	11	391
8032334	3	1	Other	43	3	4	120
8032408	1	1	Home	11	1	0	3
8032408	1	2	Other	41	1	0	78
8032408	1	3	Other	41	1	1	2
8032408	1	4	Other	41	1	0	23
8032408	1	5	Other	41	1	0	46
8032408	1	6	Other	41	1	2	4
8032408	1	7	Home	11	1	0	295
8032408	1	8	Other	41	1	0	2
8032408	1	9	Other	41	1	0	19
8032408	1	10	Other	41	1	1	481
8033299	1	1	Other	41	3	19	260
8033299	3	1	Other	43	3	19	260
8033472	1	1	Other	41	3	20	245
8033472	1	2	Other	41	3	22	222
8033472	1	3	Home	11	3	18	1424
8034556	2	1	Other	42	3	20	431
8034556	2	2	Other	42	3	14	21
8034556	2	3	Home	12	3	9	179985
8034556	2	4	Other	42	1	17	2
8034556	2	5	Other	42	1	1	330
8035347	2	1	Other	42	1	0	735
8036500	1	1	Other	41	3	13	22
8036500	1	2	Home	11	3	9	736
8036554	1	1	Home	11	1	0	104
8036554	1	2	Other	41	1	3	86
8036554	1	3	Other	41	1	1	341
8036554	1	4	Other	41	3	18	244
8036554	1	5	Home	11	3	15	96
8036554	2	1	Other	42	3	11	116
8036554	2	2	Home	12	1	0	181
8036554	2	3	Other	42	1	5	17
8036554	2	4	Other	42	5	9	5
8036554	2	5	Home	12	1	6	201
8036554	2	6	Other	42	3	15	248
8036554	2	7	Home	12	3	15	96
8037162	2	1	Work	22	1	3	1
8037162	2	2	Other	42	3	19	334
8037670	1	1	Other	41	1	5	1
8037670	1	2	Other	41	5	20	1
